# CaseFolding-5.2.0.txt
# Date: 2009-05-28, 23:02:34 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/
#
# ================================================================================
# This file has been reformatted into syntax for the gennorm2 Normalizer2 data
# generator tool.
# C and F mappings are marked as one-way mappings with '>' while
# S and T mappings are commented out.
# ================================================================================
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to the full mapping below, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# The data supports both implementations that require simple case foldings
# (where string lengths don't change), and implementations that allow full case folding
# (where string lengths may grow). Note that where they can be supported, the
# full case foldings are superior: for example, they allow "MASSE" and "Maße" to match.
#
# All code points not listed in this file map to themselves.
#
# NOTE: case folding does not preserve normalization formats!
#
# For information on case folding, including how to have case folding 
# preserve normalization formats, see Section 3.13 Default Case Algorithms in
# The Unicode Standard, Version 5.0.
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status field is:
# C: common case folding, common mappings shared by both simple and full mappings.
# F: full case folding, mappings that cause strings to grow in length. Multiple characters are separated by spaces.
# S: simple case folding, mappings to single characters where different from F.
# T: special case for uppercase I and dotted uppercase I
#    - For non-Turkic languages, this mapping is normally not used.
#    - For Turkic languages (tr, az), this mapping can be used instead of the normal mapping for these characters.
#      Note that the Turkic mappings do not maintain canonical equivalence without additional processing.
#      See the discussions of case mapping in the Unicode Standard for more information.
#
# Usage:
#  A. To do a simple case folding, use the mappings with status C + S.
#  B. To do a full case folding, use the mappings with status C + F.
#
#    The mappings with status T can be used or omitted depending on the desired case-folding
#    behavior. (The default option is to exclude them.)
#
# =================================================================
00C9>00E9; # LATIN CAPITAL LETTER E WITH ACUTE
00CA>00EA; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB>00EB; # LATIN CAPITAL LETTER E WITH DIAERESIS
00CC>00EC; # LATIN CAPITAL LETTER I WITH GRAVE
00CD>00ED; # LATIN CAPITAL LETTER I WITH ACUTE
00CE>00EE; # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF>00EF; # LATIN CAPITAL LETTER I WITH DIAERESIS
00D0>00F0; # LATIN CAPITAL LETTER ETH
00D1>00F1; # LATIN CAPITAL LETTER N WITH TILDE
00D2>00F2; # LATIN CAPITAL LETTER O WITH GRAVE
00D3>00F3; # LATIN CAPITAL LETTER O WITH ACUTE
00D4>00F4; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5>00F5; # LATIN CAPITAL LETTER O WITH TILDE
00D6>00F6; # LATIN CAPITAL LETTER O WITH DIAERESIS
00D8>00F8; # LATIN CAPITAL LETTER O WITH STROKE
00D9>00F9; # LATIN CAPITAL LETTER U WITH GRAVE
00DA>00FA; # LATIN CAPITAL LETTER U WITH ACUTE
00DB>00FB; # LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC>00FC; # LATIN CAPITAL LETTER U WITH DIAERESIS
00DD>00FD; # LATIN CAPITAL LETTER Y WITH ACUTE
00DE>00FE; # LATIN CAPITAL LETTER THORN
00DF>0073 0073; # LATIN SMALL LETTER SHARP S
0100>0101; # LATIN CAPITAL LETTER A WITH MACRON
0102>0103; # LATIN CAPITAL LETTER A WITH BREVE
0104>0105; # LATIN CAPITAL LETTER A WITH OGONEK
0106>0107; # LATIN CAPITAL LETTER C WITH ACUTE
0108>0109; # LATIN CAPITAL LETTER C WITH CIRCUMFLEX
010A>010B; # LATIN CAPITAL LETTER C WITH DOT ABOVE
