# GraphemeBreakProperty-6.1.0.txt
# Date: 2011-09-16, 21:06:23 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2011 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr44/

# ================================================

# Property:	Grapheme_Cluster_Break

#  All code points not explicitly listed for Grapheme_Cluster_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

000D          ; CR

# Total code points: 1

1F46..1F47    ; Control
1F4E..1F4F    ; Control
1F58          ; Control
1F5A          ; Control
1F5C          ; Control
1F5E          ; Control
1F7E..1F7F    ; Control
1FB5          ; Control
1FC5          ; Control
1FD4..1FD5    ; Control
1FDC          ; Control
1FF0..1FF1    ; Control
1FF5          ; Control
1FFF          ; Control
200B          ; Control
200E..200F    ; Control
2028          ; Control
2029          ; Control
202A..202E    ; Control
2060..2064    ; Control
2065..2069    ; Control
206A..206F    ; Control
2072..2073    ; Control
208F          ; Control
209D..209F    ; Control
20BA..20CF    ; Control
20F1..20FF    ; Control
218A..218F    ; Control
23F4..23FF    ; Control
2427..243F    ; Control
244B..245F    ; Control
2700          ; Control
2B4D..2B4F    ; Control
2B5A..2BFF    ; Control
2C2F          ; Control
2C5F          ; Control
2CF4..2CF8    ; Control
2D26          ; Control
2D28..2D2C    ; Control
2D2E..2D2F    ; Control
2D68..2D6E    ; Control
2D71..2D7E    ; Control
2D97..2D9F    ; Control
2DA7          ; Control
2DAF          ; Control
2DB7          ; Control
2DBF          ; Control
2DC7          ; Control
2DCF          ; Control
2DD7          ; Control
2DDF          ; Control
2E3C..2E7F    ; Control
2E9A          ; Control
2EF4..2EFF    ; Control
2FD6..2FEF    ; Control
2FFC..2FFF    ; Control
3040          ; Control
3097..3098    ; Control
3100..3104    ; Control
312E..3130    ; Control
318F          ; Control
31BB..31BF    ; Control
31E4..31EF    ; Control
321F          ; Control
32FF          ; Control
4DB6..4DBF    ; Control
9FCD..9FFF    ; Control
A48D..A48F    ; Control
A4C7..A4CF    ; Control
A62C..A63F    ; Control
A698..A69E    ; Control
A6F8..A6FF    ; Control
A78F          ; Control
A794..A79F    ; Control
A7AB..A7F7    ; Control
A82C..A82F    ; Control
A83A..A83F    ; Control
A878..A87F    ; Control
A8C5..A8CD    ; Control
A8DA..A8DF    ; Control
A8FC..A8FF    ; Control
A954..A95E    ; Control
A97D..A97F    ; Control
A9CE          ; Control
A9DA..A9DD    ; Control
A9E0..A9FF    ; Control
AA37..AA3F    ; Control
AA4E..AA4F    ; Control
AA5A..AA5B    ; Control
AA7C..AA7F    ; Control
AAC3..AADA    ; Control
AAF7..AB00    ; Control
AB07..AB08    ; Control
AB0F..AB10    ; Control
AB17..AB1F    ; Control
AB27          ; Control
AB2F..ABBF    ; Control
ABEE..ABEF    ; Control
ABFA..ABFF    ; Control
D7A4..D7AF    ; Control
D7C7..D7CA    ; Control
D7FC..D7FF    ; Control
D800..DFFF    ; Control
FA6E..FA6F    ; Control
FADA..FAFF    ; Control
FB07..FB12    ; Control
FB18..FB1C    ; Control
FB37          ; Control
FB3D          ; Control
FB3F          ; Control
FB42          ; Control
FB45          ; Control
FBC2..FBD2    ; Control
FD40..FD4F    ; Control
FD90..FD91    ; Control
FDC8..FDEF    ; Control
FDFE..FDFF    ; Control
FE1A..FE1F    ; Control
FE27..FE2F    ; Control
FE53          ; Control
FE67          ; Control
FE6C..FE6F    ; Control
FE75          ; Control
FEFD..FEFE    ; Control
FEFF          ; Control
FF00          ; Control
FFBF..FFC1    ; Control
FFC8..FFC9    ; Control
FFD0..FFD1    ; Control
FFD8..FFD9    ; Control
FFDD..FFDF    ; Control
FFE7          ; Control
FFEF..FFF8    ; Control
FFF9..FFFB    ; Control
FFFE..FFFF    ; Control
1000C         ; Control
10027         ; Control
1003B         ; Control
1003E         ; Control
1004E..1004F  ; Control
1005E..1007F  ; Control
100FB..100FF  ; Control
10103..10106  ; Control
10134..10136  ; Control
1018B..1018F  ; Control
1019C..101CF  ; Control
101FE..1027F  ; Control
1029D..1029F  ; Control
102D1..102FF  ; Control
1031F         ; Control
10324..1032F  ; Control
1034B..1037F  ; Control
1039E         ; Control
103C4..103C7  ; Control
103D6..103FF  ; Control
1049E..1049F  ; Control
104AA..107FF  ; Control
10806..10807  ; Control
10809         ; Control
10836         ; Control
10839..1083B  ; Control
1083D..1083E  ; Control
10856         ; Control
10860..108FF  ; Control
1091C..1091E  ; Control
1093A..1093E  ; Control
10940..1097F  ; Control
109B8..109BD  ; Control
109C0..109FF  ; Control
10A04         ; Control
10A07..10A0B  ; Control
10A14         ; Control
10A18         ; Control
10A34..10A37  ; Control
